"abbiegen + akuzatív","ohnút"
"der Heimweg, -e","cesta domov"
"helfen + datív (Er hilft Ihnen.)","pomôct (Pomôze Vám.)"
"das Herz, -en","srdce"
"heute","dnes"
"hoch","vysoky"
"holen","vyzdvihnút"
"hören + akuzatív","pocut"
"das Hotel, -s","hotel"
"hübsch","pekny"
"die Hüfte, -n","bok"
"ihr","jej"
"Ihr","Vás (vykanie)"
"ihr","vás"
"In Ordnung.","V poriadku."
"jetzt","teraz"
"jung","mlady"
"kalt","studeny"
"kaufen (Ich kaufe ihm etwas.)","kúpit (Kúpim mu nieco.)"
"der Kindergarten, -gärten","skôlka"
"das Kinn, -e","brada"
"das Kino, -s","kino"
"die Kirche, -n","kostol"
"klein","maly"
"das Knie, -","koleno"
"der Knöchel, -","clenok"
"der Knochen, -","kost"
"der Kopf, Pl. Köpfe","hlava"
"das Kopfweh","bolesti hlavy"
"können (ich kann, du kannst, er/sie/ es kann","vediet (nejakú zrucnost), môct"
"Ich kann schwimmen.","Viem plávat."
"Ich kann hier nicht bleiben.","Nemôzem tu zostat."
"der Körper, -","telo"
"der Krankenstand; in Krankenstand gehen","PN; ist' na PN, nechat sa vypísat (kvôli chorobe)"
"das Kreuz, -e","krize (chrbat)"
"die Kreuzung, -en","krizovatka"
"das Kreuzweh","bolesti krizov"
"das Kreuzworträtsel,","krízovka"
"lacheln","usmievat sa"
"lang","dlhy"
"die Leber, -n","pecen"
"lesen + akuzatív","čítať"
"lieb","mily"
"die Lippe, -n","pera"
"lösen","riesit"
"die Lunge, -n","plúca"
"die Lust, O","chut"
"der Magen, PI. Mägen","zalúdok"
"Mach dir keine Sorgen.","Nerob si starosti."
"manchmal","niekedy"
"der Marktplatz, -plätze","trhovisko"
"das Medikament, -e","liek"
"mein","môj"
"der Mensch, -en","clovek"
"das Mittagessen,-","obed"
"der Mund, Pl. Münder","ústa"
"müssen (ich muss, du musst, er/sie/es muss)","musiet"
"der Nabel,","pupok"
"der Nacken,","zátylok"
"nah","blizky"
"die Nase, -n","nos"
"nehmen + akuzatív","vziat"
"nie","nikdy"
"die Niere, -n","oblicka"
"nicht mehr","uz nie"
"noch nicht","este nie"
"normalerweise","obycajne/zvycajne"
"der Oberschenkel,","stehno"
"das Ohr,-en","ucho"
"die Oper, -n","opera"
"die Operation, -en","operácia"
"die Ordnung, -en","poriadok"
"der Park, -s","park"
"pflegen + akuzatív","starat sa o"
"der Platz, Pl. Plätze","namestie"
"das Possessivpronomen,","privlastnovacie zámeno"
"die Post, O","posta"
"die Präsentation, -en","prezentácia"
"das Rathaus, -häuser","radnica"
"Red keinen Unsinn!","Nehovor nezmysly!"
"reden","hovorit"
"das Restaurant, -s","restaurácia"
"rot","cerveny"
"der Rücken, -","chrbat"
"rufen + akuzativ","volat"
"rund um","okolo"
"die Sackgasse,-n","slepá ulica"
"sagen","povedat"
"die Sache, -n","vec"
"sehen + akuzatív","vidiet"
"sein","jeho"
"seit einigen Tagen","uz niekolko dni"
"seitdem","odvtedy"
"selbst","sám/ sama"
"schaffen","zvládnut"
"schenken (Ich schenke dir in Buch.)","darovat (Darujem ti knihu.)"
"das Schienbein, -e","pistala"
"schlimm","zly"
"schmecken + datív (Die Suppe schmeckt mir.)","chutit (Polievka mi chuti.)"
"schmerzen","boliet"
"schminken","lícit (makeup)"
"schnell","rychly"
"schön","pekny"
"die Schule, -n","skola"
"die Schulter, -n","plece"
"schwarz","cierny"
"schwierig","tazky"
"sicher","isty"
"sonnig","slnecny"
"sonst","ináč"
"später","neskôr"
"der Spiegel, -","zrkadlo"
"die Stadt, Pl. Städte","mesto"
"das Stadtzentrum,-zentren","centrum mesta"
"die Stirn, -en","celo"
"die Straße, -n","ulica"
"die Strecke, -n","cesta"
"suchen + akuzatív","hladat"
"der Supermarkt, -märkte","supermarket"
"die Suppe, -n","polievka"
"die Taille, -n","driek, pás"
"teuer","drahy"
"das Theater, -","divadlo"
"der Tisch, -e","stôl"
"trinken + akuzatív","pit"
"trotzdem","napriek tomu"
"unangenehm","neprijemny"
"der Unfall, Pl. Unfälle","nehoda"
"unser","nás"
"der Unsinn, O","nezmysel"
"der Unterarm, -e","predlaktie"
"der Unterschenkel,","predkolenie"
"unterwegs","po/na ceste"
"die Verletzung, -en","zranenie"
"verrückt","bláznivy"
"verstehen","rozumiet"
"viel","vela"
"die Wade, -n","lytko"
"die Wange, -n","lice"
"warm","teply"
"waschen (ich wasche, du wäschst, er/sie/es wäscht)","umyvat"
"waschen + akuzativ","umyvat"
"der Weg, -e","cesta"
"weh tun (Die Beine tun mir weh.)","boliet (Bolia ma nohy.)"
"weit","daleko"
"weiter","dalej"
"wenigstens","aspon"
"wenn","ked"
"werden (ich werde, du wirst, er/sie/ es wird)","become/nastat"
"die Wimpern (Pl.)","mihalnice"
"das Wochenende (am Wochenende)","vikend (cez vikend)"
"der Zebrastreifen, -","prechod pre chodcov"
"die Zeitung,-en","noviny"
"die Zigarre,-n","cigara"
"zuerst","najprv"
"der Zug, Pl. Züge","vlak"
"zurück","spät"
