"der Abstellraum, Pl. Abstellräume","sklad, komora"
"die Haustür, -en","vstupné dvere"
"das Einfamilienhaus, Pl. -häuser","rodinny dom"
"die Garage, -n","garáz"
"das Stockwerk, -e","poschodie"
"Das Bad ist im ersten Stock.","Kúpelña je na prvom poschodí."
"das Erdgeschoss, -e","prizemie"
"Das Esszimmer ist im Erdgeschoss.","Jedálen je na prízemí."
"der Dachboden, Pl. -böden","podkrovie"
"waren (minuly cas od slovesa sein)","boli (minuly cas od slovesa byt)"
"das WC, -s","WC"
"weglaufen (ich laufe weg, du läufst weg, er/sie/es läuft weg)","utiect"
"weil","pretoze"
"wenn","ked"
"das Wetter, O","pocasie"
"das Wohngebiet, -e","obytná zóna"
"das Wohnzimmer,-","obyvacka"
"zeigen","ukazovat"
"die Zeitung, -en","noviny"
"ziemlich","dost"
"zuerst","najprv"
"zufrieden","spokojny"
"die Zugfahrt, -en","cesta vlakom"
"zwischen","medzi"
"der Briefkasten, Pl. -kästen","postová schránka"
"die Terrasse, -n","terasa"
"der Balkon, -e","balkón"
"der Keller, -","pivnica"
"das Zimmer,","izba"
"der Garten, Pl. Gärten","záhrada"
"der Eingang, Pl. Eingänge","vchod"
"die Treppe, -n","schodisko"
"die Türklingel, -n","zvoncek"
"die Fußmatte, -n","rohozka"
"das Schloss, Pl. Schlösser","zámok"
"der Schlüssel,","klüc"
"der Lift, -e","vytah"
"der Vorraum, Pl. Vorräume","predsien"
"das Wohnzimmer, -","obyvacka"
"das Schlafzimmer,","spálña"
"das Badezimmer,","kúpelña"
"das Kinderzimmer,-","detska izba"
"das Gästezimmer,","hostovská izba"
"das Arbeitszimmer,","pracovna"
"die Speisekammer,-n","Spajza"
"das WC, -s / das Klo, -s","záchod"
"die Heizung, -en","kúrenie"
"die Glühbirne, -n","ziarovka"
"die Steckdose, -n","zásuvka"
"der Schalter, -","vypínad"
"der Staubsauger,","vysávac"
"der Besen,","metla"
"der Eimer, - (Ö: der Kübel, - )","vedro"
