"das Küchenregal, -e","polica"
"Ich habe Sie nicht gut verstanden.","Nerozumela som Vám dobre."
"Ja, hier ist Sophie Fischer.","Áno, tu je (hovori) Sophie Fischer"
"Bitte wiederholen Sie es.","Zopakujte to, prosím."
"Ist dort die Praxis von Dr. Müller?","Je to ambulancia dr. Müllera?"
"Möchten Sie eine Nachricht hinterlassen?","Chcete nechat odkaz?"
"Wie kann ich Ihnen helfen?","Ako Vám môzem pomôct?"
"Was kann ich für Sie tun?","Co môzem pre Vás urobit?"
"Kann ich eine Nachricht hinterlassen?","Môzem zanechat správu?"
"Ich möchte einen Termin für Frau Fischer ausmachen.","Chela by som dohodnút termin pre pani Fischer."
"Kann er mich bitte zurückrufen?","Mohol by mi zavolat spät?"
"Ich rufe später noch einmal an.","Zavolám neskôr este raz."
"Herr Fischer ist leider nicht zu Hause. Kann er Sie zurückrufen?","Pán Fischer nie je, bohuzial, doma. Moze Vam zavolat' spät?"
"Meine Telefonnummer ist:","Moje telefónne cislo je:"
"Der Nächste bitte!","Dalsi, prosim."
"Wer ist dran?","Kto je na rade?"
"Bitte warten!","Cakajte, prosím."
"Ich möchte Geld wechseln.","Chela by som zmenit peniaze."
"Ich möchte einen eingeschriebenen Brief schicken.","Chela by som poslat doporucene list."
"Bitte als Einschreiben.","Prosim, doporucene."
"Welch Briefmarke braucht man für eine Postkarte in die Slowakei?","Akú známku potrebujem na pohladnicu na Slovensko?"
"Ich hätte gerne 5 Briefmarken zu 65 Cent.","Chcela by som 5 známok za 65 centov."
"Bitte geben Sie mir auch einen Beleg.","Dajte mi aj potvrdenie, prosím."
"Ich möchte in Paket aufgeben.","Chela by som podat balik."
"Ich möchte einen Brief aufgeben.","Chela by som podat list."
"Kann ich Ihren Ausweis sehen?","Mohla by som vidiet Vás preukaz?"
"Haben Sie die Verständigung mit?","Mâte so sebou oznámenie o ulození zásielky?"
"Wollen Sie das als Paket oder als Brief aufgeben?","Chcete to podat ako balik alebo ako list?"
"Wie lange wird es dauern?","Ako dlho to bude trvat?"
"Wann wird das Paket ankommen?","Kedy ten balik príde?"
"Haben Sie auch Postkarten?","Máte aj pohladnice?"
"Unterschreiben Sie bitte hier.","Podpiste sa tu, prosím."
"Füllen Sie bitte das Formular aus.","Vyplnte tento formulár, prosím."
"Wo bekomme ich das Formular ... ?","Kde dostanem formulár ... ?"
"Welches Formular brauche ich?","Aky formulár potrebujem?"
"Stellen Sie sich (bitte) hinten an.","Postavte sa, prosím, dozadu."
"Ich war vor Ihnen dran!","Bola som na rade pred Vami."
"Welche Postleitzahl (PLZ) hat Graz?","Aké postové smerovacie cislo má Graz?"

