"die Abteilung, -en","oddelenie"
"rufen (ein Taxi)","zavolat (taxik)"
"der Sack, Pl. Säcke","vrecúsko"
"der Salat, -e","Salát"
"der Samstag, -e","sobota"
"die Semmel, -n","zemla"
"die Schachtel, -n","krabicka"
"die Scheibe, -n","krajec"
"der Schinken","sunka"
"schick","vkusny"
"schlecht","zly"
"schmecken","chutit"
"schön","pekny"
"die SIM-Karte","SIM-karta"
"das Sonderangebot,-e","akcia"
"der Sontag (den ganzen Sonntag)","nedela (celú nedelu)"
"der Stadtpark, -s","mestsky park"
"stattdessen","namiesto toho"
"das Stück, -e","kus"
"suchen","hladat"
"der Supermarkt, Pl. -märkte","supermarket"
"teuer","drahy"
"der Thunfisch, -e","tuniak"
"toll","perfektny"
"die Tomate, -n","paradajka"
"tragen","niest"
"trinken","pit"
"unbequem","nepohodlny"
"ungarische Salami","madarska saláma"
"ungünstig","nevyhodny"
"uninteressant","nezaujimavy"
"unpraktisch","neprakticky"
"unten","dole"
"der Unterschied, -e (Was ist der Unterschied?)","rozdiel (Aky je v tom rozdiel?)"
"die Unterschrift,-en","podpis"
"verbringen","strávit"
"der Apfel, PI. Âpfel","jablko"
"die Banane, -n","banán"
"die Birne, -n","hruska"
"die Orange, -n","pomaranc"
"die Kiwi, -s","kiwi"
"die Weintraube, -n","hrozno"
"die Erdbeere, -n","jahoda"
"die Himbeere, -n","malina"
"die Heidelbeere, -n (= Blaubeere, Schwarzbeere)","cucoriedka"
"die Johannisbeere, -n","ribezla (v Rakúsku die Ribisel)"
"vergessen","zabudnút"
"der Verkäufer, -","predavac"
"die Verkäuferin, -nen","predavacka"
"verschieden","rozlicny"
"der Vertrag, Pl. Verträge","zmluva"
"das Vertragshandy,-s","mobilny telefón na zmluvu"
"viel","vela"
"voll","plny"
"die Vollmilch","plnotucné mlieko"
"das Waschpulver, -","prací prások"
"die Weintraube, -n","hrozno"
"der Weißwein, -e","biele vino"
"das Wertkartenhandy,-s","mobil na nabíjatelnú kartu"
"Wie findest du...?","Co hovoris na...? Ako sa ti páci...?"
"wirklich","skutocne"
"die Wurst, Pl. Würste","saláma"
"zahlen","platit"
"zeigen","ukázat"
"die Zucchini,","cuketa"
"die Pflaume, -n","slivka (v Rakúsku die Zwetschke)"
"der Pfirsich, -e","broskyna"
"die Aprikose, -n","marhula (v Rakúsku die Marille)"
"die Kirsche, -n","ceresna"
"die Zitrone, -n","citrón"
"die Mandarine, -n","mandarinka"
"die Grapefruit, -s","grapefruit"
"die Melone, -n","melón"
"die Ananas,","ananás"
"die Pistazie, -n","pistácia"
"der Pinienkern, -e","píniové jadierka"
"die Cashewnuss, PI. -nüsse","kesu oriesky"
"die Mandel, -n","mandle"
"die Haselnuss,-nüsse","lieskovy orech"
"die Walnuss, -nüsse","vlassky orech"
"die Kokosnuss, -nüsse","kokosovy orech"
"die Erdnuss, -nüsse","bursky orech"
"der Champignon, -s","Sampiñóny"
"der Pilz, -e","huba"
"der Lauch, O","pór"
"die Frühlingszwiebel, -n","jarná cibulka"
"die Zwiebel, -n","cibula"
"der Knoblauch, -","cesnak"
"die Kartoffel, -n","zemiak"
"der Spargel,","Spargla"
"der Kohlrabi, -s","kalerab"
"der Salat, -e","Salát"
"der Kohl, O","kel (v Rakúsku das Kraut)"
"der Blumenkohl, O","karfiol (v Rakúsku der Karfiol)"
"der Brokkoli, O","brokolica"
"die Tomate, -n","paradajka"
"der Paprika, -s","paprika"
"die Gurke, -n","uhorka"
"der Kürbis, PI. Kürbisse","tekvica"
"die Aubergine, -n","baklazán (v Rakúsku die Melanzani)"
"die Zucchini,","cuketa"
"die Möhre, -n","mrkva (v Rakúsku die Karotte)"
"das Radieschen, -","redkvicka"
"die Rübe, -n","repa"
"die Bohne, -n","fazula"
"die Linse, -n","sosovica"
"die Erbse, -n","hrások"
"der Spinat, -","Spenát"
"Was hätten Sie gerne?","Co si dâte?"
"Was bekommen Sie?","Co Vám prinesiem?"
"Was darf's sein?","Co to bude?"
"Was möchten Sie trinken?","Co si dáte na pitie?"
"Ein Bier und ein Mineralwasser.","Jedno pivo a minerálku."
"Wir möchten gern bestellen.","Radi by sme si objednali."
"Ich möchte gern bestellen.","Chcel by som si objednat."
"Ich hätte gerne einen Cappuccino und einen Apfelstrudel.","Dal by som si kapucino a jablkovú Strúdlu."
"Ich nehme einen Verlängerten und ein gemischtes Eis.","Dám si velkú kávu a miesanú zmrzlinu."
"Welche Kuchen haben Sie?","Aké koláce máte?"
"Dann nehme ich einen Apfelkuchen.","Tak si dám jablkovy kolác."
"Haben Sie noch einen Wunsch?","Máte este nejaké zelanie?"
"Möchten Sie noch etwas bestellen?","Chcete si este nieco objednat?"
"Danke, das ist alles.","Dakujem, to je vsetko."
"Wir nehmen noch zweimal Gulasch mit Knödel und zwei Bier.","Dáme si este dvakrát gulas s knedlou a dve pivá."
"Guten Appetit!","Dobrú chut!"
"Lass es dir schmecken.","Dobrú chut (tykanie)."
"Lassen Sie es sich schmecken.","Dobrú chut (vykanie)."
"Mahlzeit.","Dobrú chut. (v Rakúsku)"
"Schmeckt es dir?","Chutí ti to?"
"Schmeckt es Ihnen?","Chuti Vam to?"
"Ist hier noch frei?","Máte tu este volno?"
"Dürfen wir uns dazusetzen?","Môzeme sa tu posadit?"
"Entschuldigen Sie bitte, ...","Prepácte,.."
"Zahlen, bitte!","Platím, prosím."
"Die Rechnung bitte.","Ucet, prosim."
"Ich möchte gern zahlen.","Rad by som zaplatil."
"Das macht 9,50 € (neun Euro fünfzig).","Spolu je to 9,50 €."
"Wir möchten gern zahlen.","Chceme zaplatit."
"Danke, stimmt so.","Dakujem, to je poriadku."
